#Data tag : 23v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 283865:5441 | 10/22/16 17:30:09 | 1177 | 1177 | 0.280778313    | 0.271419155   |
| 283876:5442 | 10/23/16 03:38:50 | 672  | 668  | 0.179871278    | 0.169705930   |
| 283877:5442 | 10/23/16 07:59:53 | 1496 | 1496 | 0.256967764    | 0.248939733   |
| 283884:5443 | 10/23/16 23:44:05 | 408  | 408  | 0.111394793    | 0.105347509   |
| 283885:5443 | 10/24/16 02:25:30 | 1723 | 1723 | 0.302435513    | 0.293868269   |
| 283933:5446 | 10/24/16 18:32:31 | 153  | 148  | 0.046372933    | 0.041942852   |
| 283934:5446 | 10/24/16 19:33:15 | 1258 | 1258 | 0.284954051    | 0.274469662   |
| 283946:5448 | 10/25/16 07:30:41 | 1378 | 1378 | 0.317732015    | 0.305723477   |
| 283964:5448 | 10/25/16 16:29:30 | 388  | 388  | 0.060338976    | 0.058491883   |
| 284006:5450 | 10/26/16 01:53:26 | 322  | 321  | 0.060904115    | 0.058101528   |
| 284014:5450 | 10/26/16 03:59:16 | 266  | 266  | 0.049329943    | 0.048024951   |
| 284025:5451 | 10/26/16 08:56:20 | 54   | 52   | 0.014777693    | 0.012562234   |
| 284029:5451 | 10/26/16 09:19:00 | 112  | 112  | 0.032660553    | 0.030777603   |
| 284035:5451 | 10/26/16 10:04:52 | 369  | 361  | 0.094488523    | 0.089318144   |
| 284036:5451 | 10/26/16 12:28:09 | 356  | 349  | 0.077714812    | 0.072542485   |
| 284037:5451 | 10/26/16 14:48:03 | 343  | 341  | 0.065176983    | 0.062659367   |
| 284038:5451 | 10/26/16 17:02:16 | 60   | 55   | 0.010577462    | 0.009103140   |
| 284039:5451 | 10/26/16 17:27:02 | 34   | 30   | 0.005883370    | 0.004793711   |
| 284040:5451 | 10/26/16 17:42:19 | 35   | 35   | 0.005983103    | 0.005437644   |
| 284041:5451 | 10/26/16 17:59:11 | 47   | 45   | 0.007680878    | 0.006783119   |
| 284042:5451 | 10/26/16 18:23:53 | 137  | 129  | 0.021719671    | 0.019588662   |
| 284043:5451 | 10/26/16 19:17:23 | 227  | 225  | 0.033198070    | 0.031443733   |
| 284044:5451 | 10/26/16 20:46:05 | 30   | 30   | 0.004327047    | 0.004242406   |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 32    | 86   | 47793 | 47654 | 9.162055420       | 8.746231868      |
+-------+------+-------+-------+-------------------+------------------+
#Check JSON:
#(run,ls) in json but not in results: []
