#Data tag : 23v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 274441:4990 | 06/05/16 22:13:06 | 443  | 437  | 0.063870055    | 0.060183496   |
| 274442:4990 | 06/06/16 01:05:09 | 752  | 752  | 0.096720772    | 0.093574691   |
| 274954:5005 | 06/11/16 09:40:51 | 24   | 21   | 0.001256789    | 0.000897799   |
| 274955:5005 | 06/11/16 09:52:09 | 98   | 91   | 0.005023219    | 0.004443233   |
| 274968:5013 | 06/11/16 22:51:22 | 1206 | 1205 | 0.191701463    | 0.181431364   |
| 274969:5013 | 06/12/16 06:41:54 | 1007 | 1003 | 0.128983415    | 0.119710582   |
| 274970:5013 | 06/12/16 13:12:54 | 47   | 47   | 0.005423777    | 0.004085337   |
| 274971:5013 | 06/12/16 13:33:30 | 905  | 905  | 0.095968263    | 0.093000005   |
| 274998:5017 | 06/13/16 04:19:30 | 732  | 725  | 0.114160527    | 0.106112186   |
| 274999:5017 | 06/13/16 09:04:45 | 1257 | 1252 | 0.161251918    | 0.153920393   |
| 275000:5017 | 06/13/16 17:15:34 | 140  | 140  | 0.015934645    | 0.014988516   |
| 275001:5017 | 06/13/16 18:12:42 | 2057 | 2057 | 0.193981569    | 0.188926990   |
| 275059:5020 | 06/14/16 16:49:52 | 50   | 42   | 0.008701634    | 0.005628871   |
| 275066:5020 | 06/14/16 17:45:35 | 111  | 105  | 0.020463909    | 0.016845776   |
| 275067:5020 | 06/14/16 18:28:40 | 396  | 396  | 0.068788041    | 0.065634603   |
| 275068:5020 | 06/14/16 21:05:49 | 922  | 921  | 0.138409017    | 0.132159795   |
| 275073:5020 | 06/15/16 03:32:47 | 523  | 519  | 0.066751197    | 0.063689866   |
| 275074:5020 | 06/15/16 06:56:59 | 647  | 647  | 0.073683649    | 0.071277972   |
| 275124:5021 | 06/15/16 17:50:25 | 328  | 328  | 0.055004255    | 0.052047999   |
| 275125:5021 | 06/15/16 20:00:23 | 989  | 989  | 0.145476350    | 0.139253144   |
| 275282:5024 | 06/17/16 00:05:52 | 96   | 91   | 0.015502249    | 0.013734322   |
| 275283:5024 | 06/17/16 00:43:12 | 137  | 132  | 0.022536472    | 0.020684664   |
| 275284:5024 | 06/17/16 01:36:55 | 74   | 74   | 0.011916215    | 0.011475679   |
| 275290:5024 | 06/17/16 03:58:56 | 55   | 48   | 0.008180566    | 0.002485098   |
| 275291:5024 | 06/17/16 04:28:36 | 356  | 352  | 0.050757194    | 0.047951695   |
| 275292:5024 | 06/17/16 06:46:48 | 125  | 121  | 0.015823513    | 0.014580955   |
| 275293:5024 | 06/17/16 07:37:27 | 200  | 200  | 0.024243109    | 0.023421903   |
| 275309:5026 | 06/17/16 13:48:15 | 573  | 570  | 0.080949389    | 0.076684706   |
| 275310:5026 | 06/17/16 17:32:53 | 1939 | 1935 | 0.216982609    | 0.209464153   |
| 275311:5026 | 06/18/16 06:07:07 | 1253 | 1253 | 0.104238466    | 0.101754737   |
| 275319:5027 | 06/18/16 18:56:15 | 152  | 146  | 0.025405247    | 0.022486476   |
| 275337:5027 | 06/18/16 21:26:04 | 433  | 430  | 0.066695596    | 0.063197429   |
| 275338:5027 | 06/19/16 00:15:37 | 520  | 520  | 0.071976425    | 0.069650998   |
| 275344:5028 | 06/19/16 08:18:25 | 293  | 287  | 0.049943913    | 0.046021230   |
| 275345:5028 | 06/19/16 10:12:11 | 353  | 353  | 0.057116418    | 0.054617513   |
| 275370:5029 | 06/19/16 16:19:29 | 291  | 291  | 0.050678145    | 0.047205662   |
| 275371:5029 | 06/19/16 18:16:50 | 569  | 569  | 0.091235466    | 0.086508266   |
| 275375:5030 | 06/20/16 02:17:12 | 1327 | 1327 | 0.200037520    | 0.192088613   |
| 275376:5030 | 06/20/16 10:55:03 | 3096 | 3096 | 0.314222893    | 0.305992988   |
| 275657:5038 | 06/24/16 03:32:31 | 111  | 109  | 0.019293756    | 0.016698164   |
| 275658:5038 | 06/24/16 04:16:08 | 344  | 344  | 0.058856033    | 0.054621213   |
| 275659:5038 | 06/24/16 06:31:38 | 17   | 17   | 0.002790028    | 0.002694912   |
| 275761:5043 | 06/25/16 04:24:16 | 11   | 11   | 0.002159540    | 0.001548141   |
| 275767:5043 | 06/25/16 05:31:36 | 8    | 8    | 0.001486086    | 0.000656380   |
| 275772:5043 | 06/25/16 06:28:17 | 61   | 61   | 0.010882709    | 0.009618543   |
| 275773:5043 | 06/25/16 06:53:33 | 21   | 12   | 0.003694418    | 0.001100058   |
| 275774:5043 | 06/25/16 07:01:55 | 317  | 316  | 0.054437349    | 0.051243762   |
| 275776:5043 | 06/25/16 09:11:22 | 149  | 143  | 0.024309614    | 0.021704622   |
| 275777:5043 | 06/25/16 10:12:23 | 304  | 304  | 0.047235224    | 0.044779648   |
| 275778:5043 | 06/25/16 12:13:15 | 319  | 319  | 0.046376331    | 0.042803059   |
| 275782:5043 | 06/25/16 14:44:48 | 761  | 761  | 0.097236807    | 0.093595221   |
| 275832:5045 | 06/26/16 17:18:04 | 371  | 371  | 0.072213635    | 0.067007892   |
| 275833:5045 | 06/26/16 19:45:08 | 251  | 251  | 0.045032405    | 0.042898355   |
| 275834:5045 | 06/26/16 21:26:02 | 303  | 297  | 0.050846197    | 0.047963192   |
| 275835:5045 | 06/26/16 23:24:23 | 20   | 13   | 0.003289482    | 0.001957579   |
| 275836:5045 | 06/26/16 23:32:01 | 1290 | 1284 | 0.184732186    | 0.174759784   |
| 275837:5045 | 06/27/16 07:59:13 | 715  | 715  | 0.081050521    | 0.078608179   |
| 275847:5045 | 06/27/16 13:59:23 | 2263 | 2263 | 0.194958529    | 0.190306837   |
| 275886:5048 | 06/28/16 08:39:25 | 40   | 40   | 0.008036109    | 0.007005986   |
| 275890:5048 | 06/28/16 09:27:45 | 1393 | 1393 | 0.229454233    | 0.220340906   |
| 275911:5052 | 06/29/16 01:49:35 | 382  | 381  | 0.071937946    | 0.068005073   |
| 275912:5052 | 06/29/16 04:21:24 | 303  | 297  | 0.052953729    | 0.048642778   |
| 275913:5052 | 06/29/16 06:19:55 | 484  | 480  | 0.077392918    | 0.072250683   |
| 275918:5052 | 06/29/16 09:29:21 | 332  | 332  | 0.048707113    | 0.047040995   |
| 275920:5052 | 06/29/16 11:54:52 | 472  | 472  | 0.062335210    | 0.058221288   |
| 275921:5052 | 06/29/16 14:59:31 | 32   | 27   | 0.004064031    | 0.002556393   |
| 275923:5052 | 06/29/16 15:16:55 | 127  | 127  | 0.015836394    | 0.015140487   |
| 275931:5052 | 06/29/16 16:34:22 | 89   | 89   | 0.010699339    | 0.010403079   |
| 275963:5056 | 06/30/16 01:02:54 | 90   | 90   | 0.018580942    | 0.017598162   |
| 276092:5060 | 07/01/16 02:14:32 | 80   | 80   | 0.015434999    | 0.013605931   |
| 276097:5060 | 07/01/16 03:07:31 | 507  | 507  | 0.094213546    | 0.090409260   |
| 276242:5069 | 07/02/16 14:05:35 | 1649 | 1649 | 0.260787421    | 0.247609752   |
| 276243:5069 | 07/03/16 00:56:20 | 625  | 625  | 0.078467037    | 0.072095774   |
| 276244:5069 | 07/03/16 05:03:30 | 1202 | 1202 | 0.128033352    | 0.123244848   |
| 276282:5071 | 07/03/16 18:15:01 | 1075 | 1069 | 0.196311424    | 0.186897226   |
| 276283:5071 | 07/04/16 01:13:28 | 1087 | 1087 | 0.159785273    | 0.153369976   |
| 276315:5072 | 07/04/16 11:19:05 | 186  | 180  | 0.034537202    | 0.030942700   |
| 276317:5072 | 07/04/16 12:32:51 | 147  | 140  | 0.026781679    | 0.023903297   |
| 276318:5072 | 07/04/16 13:29:46 | 574  | 574  | 0.093817530    | 0.089362780   |
| 276355:5073 | 07/04/16 21:39:48 | 34   | 33   | 0.006065332    | 0.005624082   |
| 276361:5073 | 07/04/16 22:36:17 | 835  | 831  | 0.143280838    | 0.136164394   |
| 276363:5073 | 07/05/16 04:07:36 | 1486 | 1480 | 0.199415095    | 0.189781374   |
| 276384:5073 | 07/05/16 13:46:43 | 1117 | 1117 | 0.115794735    | 0.112375000   |
| 276437:5076 | 07/06/16 02:58:47 | 2125 | 2125 | 0.343080143    | 0.329925136   |
| 276454:5076 | 07/06/16 18:08:16 | 527  | 527  | 0.062548595    | 0.060744666   |
| 276458:5076 | 07/07/16 02:00:22 | 341  | 341  | 0.032297983    | 0.031558346   |
| 276495:5078 | 07/07/16 11:20:58 | 193  | 187  | 0.044148215    | 0.039724384   |
| 276501:5078 | 07/07/16 12:46:31 | 2555 | 2550 | 0.435975517    | 0.418348467   |
| 276502:5078 | 07/08/16 05:20:54 | 741  | 741  | 0.091204942    | 0.088340223   |
| 276525:5080 | 07/08/16 14:14:55 | 2799 | 2793 | 0.435103124    | 0.419121873   |
| 276527:5080 | 07/09/16 08:34:42 | 214  | 214  | 0.023875381    | 0.023127145   |
| 276528:5080 | 07/09/16 10:00:39 | 394  | 394  | 0.040850486    | 0.039479611   |
| 276542:5083 | 07/09/16 16:32:23 | 785  | 784  | 0.163059128    | 0.154924496   |
| 276543:5083 | 07/09/16 21:39:41 | 961  | 959  | 0.162085043    | 0.154313914   |
| 276544:5083 | 07/10/16 03:53:24 | 163  | 161  | 0.024233315    | 0.022850823   |
| 276545:5083 | 07/10/16 04:59:02 | 207  | 207  | 0.028758441    | 0.027641093   |
| 276581:5085 | 07/10/16 12:24:16 | 369  | 369  | 0.081160244    | 0.077318214   |
| 276582:5085 | 07/10/16 14:52:29 | 873  | 873  | 0.162441035    | 0.156580769   |
| 276583:5085 | 07/10/16 20:34:29 | 60   | 56   | 0.009917323    | 0.008157959   |
| 276584:5085 | 07/10/16 20:59:18 | 2    | 2    | 0.000328226    | 0.000194390   |
| 276585:5085 | 07/10/16 21:31:21 | 253  | 246  | 0.039560950    | 0.036299460   |
| 276586:5085 | 07/10/16 23:10:08 | 760  | 752  | 0.105236889    | 0.100653752   |
| 276587:5085 | 07/11/16 04:13:22 | 1006 | 1006 | 0.115151535    | 0.111036628   |
