--------------------------------------------------------
EVENT #1
--------------------------------------------------------
element | pdgId    | status  | mothers           | daughters         | pT           | Eta          | Phi          | E            | mass
13      | 25       | 62      | 0                 | 14-15             | 193.192      | -1.77674     | -0.150757    | 1520.37      | 1402.36      
14      | 4900001  | 22      | 0                 | 16-17             | 705.044      | 0.0974756    | -0.304465    | 710.183      | 50.3447      
15      | -4900001 | 22      | 0                 | 18-19             | 514.979      | -1.02273     | 2.77966      | 810.185      | 50.3471      
16      | 4900022  | 22      | 0                 | 20-21             | 638.763      | 0.0750229    | -0.298885    | 640.565      | 2.20059      
17      | 4900004  | 1       | 0                 |                   | 66.3866      | 0.309362     | -0.358182    | 69.6175      | 2            
18      | 4900022  | 22      | 0                 | 25-26             | 405.155      | -1.05843     | 2.8118       | 654.093      | 1.97405      
19      | -4900004 | 1       | 0                 |                   | 110.802      | -0.875771    | 2.66187      | 156.092      | 2            
20      | 11       | 23      | 0                 | 24                | 353.926      | 0.0751617    | -0.301972    | 354.926      | 0.000511002  
21      | -11      | 23      | 0                 | 22-23             | 284.841      | 0.0748494    | -0.295049    | 285.639      | 0.000511029  
22      | -11      | 1       | 0                 |                   | 284.832      | 0.0748494    | -0.295049    | 285.63       | 0.000510892  
23      | 22       | 1       | 0                 |                   | 0.00944755   | 0.0748663    | -0.295026    | 0.00947404   | 2.13125e-10  
24      | 11       | 1       | 0                 |                   | 353.926      | 0.0751617    | -0.301972    | 354.926      | 0.000511002  
25      | 13       | 1       | 0                 |                   | 99.1509      | -1.05475     | 2.81946      | 159.61       | 0.10566      
26      | -13      | 1       | 0                 |                   | 306.008      | -1.05961     | 2.80932      | 494.483      | 0.10566      
27      | 2        | 71      | 0                 |                   | 8.98291      | -3.04356     | 2.54259      | 94.4444      | 0.33         
28      | 21       | 71      | 0                 | 32 40             | 7.47699      | -3.48885     | 2.28089      | 122.543      | 3.01578e-06  
29      | 21       | 71      | 0                 | 32 40             | 10.1349      | -3.48693     | 2.4381       | 165.787      | 0            
30      | 21       | 71      | 0                 | 32 40             | 36.0733      | -3.32835     | 2.36682      | 503.731      | 1.70598e-05  
31      | 21       | 71      | 0                 | 32 40             | 6.84431      | -3.30855     | 2.2961       | 93.7053      | 1.90735e-06  
32      | 333      | 2       | 0                 | 43-44             | 0.716804     | 0.292407     | 2.21569      | 1.25838      | 1.01219      
33      | 2        | 71      | 0                 | 45-46             | 2.7351       | -6.62501     | 1.24938      | 1030.74      | 0.33         
34      | 2101     | 71      | 0                 | 45-46             | 1.41704      | 8.54477      | -0.724324    | 3641.63      | 0.57933      
