--------------------------------------------------------
EVENT #1
--------------------------------------------------------
element | pdgId    | status  | mothers           | daughters         | pT           | Eta          | Phi          | E            | mass
73      | 21       | 71      | 0                 | 74-78 83-84       | 15.757       | 2.46831      | 3.02284      | 93.6539      | -1.90735e-06 
74      | 221      | 2       | 0                 | 95                | 12.6526      | 1.68606      | -0.684166    | 35.3265      | 0.54785      
75      | -323     | 2       | 0                 |                   | 1.92387      | 0.805798     | -2.4896      | 2.73286      | 0.892527     
76      | -323     | 2       | 0                 |                   | 2.07771      | 2.11849      | 3.11326      | 8.82705      | 1.03044      
77      | 2212     | 1       | 0                 |                   | 8.46896      | 2.15341      | 2.80347      | 36.98        | 0.93827      
78      | 2212     | 1       | 0                 |                   | 5.86853      | 2.41941      | 2.95861      | 33.2532      | 0.93827      
79      | 333      | 2       | 0                 | 96-97             | 0.137139     | -1.68298     | 2.85341      | 1.08766      | 1.01846      
80      | 2212     | 1       | 0                 |                   | 0.90698      | -2.50618     | 2.0203       | 5.67401      | 0.93827      
81      | 310      | 1       | 0                 |                   | 1.00526      | 0.425884     | -1.11032     | 1.20533      | 0.49761      
82      | 310      | 1       | 0                 |                   | 1.69339      | -2.39024     | -0.656943    | 9.33348      | 0.49761      
83      | 2212     | 1       | 0                 |                   | 1.47208      | 0.601614     | -2.70561     | 1.98268      | 0.93827      
84      | 310      | 1       | 0                 |                   | 5.02067      | 2.39301      | 3.10787      | 27.7128      | 0.49761      
85      | 113      | 2       | 0                 |                   | 0.445166     | -4.15766     | 2.73821      | 14.2438      | 0.596171     
86      | 111      | 2       | 0                 |                   | 0.430925     | -4.70704     | 2.64419      | 23.8591      | 0.13498      
87      | 130      | 1       | 0                 |                   | 1.19231      | -1.30933     | -1.0873      | 2.42063      | 0.49761      
88      | 310      | 1       | 0                 |                   | 1.14403      | -1.45607     | -1.21619     | 2.63422      | 0.49761      
89      | -421     | 2       | 0                 | 98-99             | 0.302907     | -4.66425     | -2.48269     | 16.1764      | 1.86486      
90      | 111      | 2       | 0                 |                   | 0.0267034    | -4.60004     | -0.395145    | 1.33531      | 0.13498      
91      | -321     | 1       | 0                 |                   | 1.1016       | -4.20151     | 0.111692     | 36.7977      | 0.49368      
92      | 211      | 1       | 0                 |                   | 2.82256      | -3.58645     | -0.633661    | 50.9945      | 0.13957      
93      | 11       | 1       | 0                 |                   | 0.150609     | 0.257347     | 2.81843      | 0.155624     | 0.000511     
94      | -11      | 1       | 0                 |                   | 0.0154263    | 0.353695     | 2.72328      | 0.0164092    | 0.000511     
95      | 22       | 1       | 0                 |                   | 10.4633      | 1.68222      | -0.664561    | 29.1059      | 3.37175e-07  
96      | 130      | 1       | 0                 |                   | 0.131688     | -0.779308    | -2.76941     | 0.527069     | 0.49761      
97      | 310      | 1       | 0                 |                   | 0.087311     | -1.74731     | 1.67189      | 0.560587     | 0.49761      
98      | -20213   | 2       | 0                 | 100               | 0.30675      | -4.12843     | -1.70135     | 9.60715      | 1.26068      
99      | 321      | 1       | 0                 |                   | 0.232192     | -4.0326      | 2.60507      | 6.56929      | 0.49368      
100     | 113      | 2       | 0                 |                   | 0.460211     | -3.17304     | -2.79424     | 5.54914      | 0.701988     
--------------------------------------------------------
EVENT #10
--------------------------------------------------------
element | pdgId    | status  | mothers           | daughters         | pT           | Eta          | Phi          | E            | mass
1       | 2212     | 4       | 0                 | 3 13 16 40-41 43-46 48-54 56-62 64-66 69-72 88-89 | 0            | 29256        | 0            | 6500         | 0.93827      
2       | 2212     | 4       | 0                 | 4 12 39-41 44-46 48 52-53 56-66 69-72 88-89 | 0            | -29256       | 0            | 6500         | 0.93827      
3       | 2        | 21      | 0                 | 5-7               | 0            | 23940.9      | 0            | 1184.87      | 0            
4       | 1        | 21      | 0                 | 5-7               | 0            | -25647       | 0            | 2890.98      | 0            
5       | 25       | 22      | 0                 | 8                 | 41.2796      | -1.89008     | -2.17508     | 1014.64      | 1004.97      
6       | 2        | 23      | 0                 | 42                | 64.3465      | 3.14058      | 2.39173      | 745.15       | 0.33         
7       | 1        | 23      | 0                 | 10                | 71.2309      | -4.17461     | -0.13923     | 2316.06      | 0.33         
8       | 25       | 44      | 0                 | 9                 | 33.3974      | -2.0877      | -1.97997     | 1014.23      | 1004.97      
9       | 25       | 44      | 0                 | 23                | 41.2761      | -1.88478     | -1.8977      | 1014.54      | 1004.97      
10      | 1        | 44      | 0                 | 67-69             | 71.2443      | -4.17405     | -0.139294    | 2315.22      | 0.33         
11      | 4        | 31      | 0                 | 12 63-66 71-72    | 0            | 22765.1      | 0            | 9.11523      | 0            
12      | 4        | 33      | 0                 | 14                | 5.13973      | 1.13867      | 2.17664      | 8.97391      | 1.5          
13      | 4        | 42      | 0                 | 11                | 6.28037e-16  | 37.907       | -0.785398    | 9.11486      | 0            
14      | 4        | 44      | 0                 | 15                | 4.59857      | 0.891695     | 2.17354      | 6.7207       | 1.5          
15      | 4        | 44      | 0                 | 17                | 3.89436      | 1.06527      | 2.05165      | 6.49659      | 1.5          
16      | -4       | 43      | 0                 | 18                | 1.39722      | 3.0534       | 2.74703      | 14.9103      | 1.5          
17      | 4        | 44      | 0                 | 19                | 3.63653      | 1.1386       | 1.95281      | 6.4369       | 1.5          
18      | -4       | 44      | 0                 | 21                | 0.361555     | 4.41015      | 1.96059      | 14.9523      | 1.5          
19      | 4        | 52      | 0                 | 20                | 3.24524      | 1.12968      | 1.95404      | 5.74509      | 1.5          
20      | 4        | 44      | 0                 | 22                | 3.19932      | 1.11901      | 1.95418      | 5.62404      | 1.5          
21      | -4       | 44      | 0                 | 25                | 0.358618     | 4.41685      | 1.96072      | 14.9307      | 1.5          
22      | 4        | 52      | 0                 | 24                | 2.95368      | 1.10273      | 1.95614      | 5.16181      | 1.5          
23      | 25       | 62      | 0                 | 26-27             | 41.8671      | -1.87142     | -1.88767     | 1014.57      | 1004.97      
24      | 4        | 62      | 0                 | 55                | 2.98505      | 1.08893      | 1.85659      | 5.15966      | 1.5          
25      | -4       | 62      | 0                 | 47                | 1.06804      | 3.32555      | 0.802333     | 14.9481      | 1.5          
26      | 4900001  | 22      | 0                 | 28-29             | 327.1        | -1.15376     | -1.91217     | 572.375      | 51.4046      
27      | -4900001 | 22      | 0                 | 30-31             | 285.248      | 0.997412     | 1.22583      | 442.194      | 50.558       
28      | 4900022  | 22      | 0                 | 32-33             | 298.726      | -1.10976     | -1.94797     | 502.348      | 1.02856      
29      | 4900004  | 1       | 0                 |                   | 30.501       | -1.47261     | -1.55404     | 70.0273      | 2            
30      | 4900022  | 22      | 0                 | 34-35             | 107.908      | 1.16883      | 1.13435      | 190.965      | 14.6682      
31      | -4900004 | 1       | 0                 |                   | 178.064      | 0.877996     | 1.28121      | 251.228      | 2            
32      | 211      | 1       | 0                 |                   | 201.366      | -1.1103      | -1.95019     | 338.77       | 0.13957      
33      | -211     | 1       | 0                 |                   | 97.3612      | -1.10863     | -1.94336     | 163.578      | 0.13957      
34      | 13       | 23      | 0                 | 38                | 34.6218      | 1.2432       | 0.954063     | 65.0053      | 0.10566      
35      | -13      | 23      | 0                 | 36-37             | 74.1077      | 1.123        | 1.21822      | 125.96       | 0.10566      
36      | -13      | 1       | 0                 |                   | 74.1057      | 1.123        | 1.21822      | 125.957      | 0.10566      
37      | 22       | 1       | 0                 |                   | 0.00190999   | 1.13859      | 1.2105       | 0.0032877    | 0            
38      | 13       | 1       | 0                 |                   | 34.6218      | 1.2432       | 0.954063     | 65.0053      | 0.10566      
39      | -323     | 2       | 0                 |                   | 1.79887      | -0.23084     | 1.21425      | 2.0497       | 0.888716     
40      | -1       | 71      | 0                 |                   | 5.11789      | 2.57059      | -0.868949    | 33.6607      | 0.839262     
41      | 333      | 2       | 0                 | 73-74             | 0.505376     | -6.22632     | -3.03853     | 127.837      | 1.01921      
42      | 2        | 71      | 0                 | 44-45             | 42.6854      | 3.49249      | 2.28905      | 702.137      | 0.33         
43      | 21       | 71      | 0                 | 44-45             | 9.09197      | 2.42687      | -2.52978     | 51.8772      | 9.53674e-07  
44      | 2212     | 1       | 0                 |                   | 11.5979      | 3.49477      | 2.26492      | 191.212      | 0.93827      
45      | 2212     | 1       | 0                 |                   | 1.21579      | 2.01592      | 2.95386      | 4.73867      | 0.93827      
46      | 21       | 71      | 0                 | 48 70             | 5.64502      | -4.46679     | 1.4084       | 245.808      | -2.77714e-05 
47      | -4       | 71      | 0                 | 48 70             | 1.06804      | 3.32555      | 0.802333     | 14.9481      | 1.5          
48      | -413     | 2       | 0                 | 75-76             | 0.657112     | 3.34888      | 1.9554       | 9.57914      | 2.01028      
49      | 21       | 71      | 0                 | 56-58 88-89       | 5.22187      | 3.35636      | 1.56363      | 74.9849      | -2.86102e-06 
50      | 21       | 71      | 0                 | 56-58 88-89       | 5.076        | 3.30644      | 1.62709      | 69.3496      | -9.53674e-07 
51      | 21       | 71      | 0                 | 56-58 88-89       | 7.83449      | 2.63676      | 2.58179      | 54.9962      | 9.53674e-07  
52      | 21       | 71      | 0                 | 56-58 88-89       | 9.27644      | 2.21769      | -0.0809151   | 43.1119      | -3.56832e-06 
53      | 2        | 71      | 0                 | 56-58 88-89       | 3.0008       | -0.860443    | -3.00482     | 4.1949       | 0.33         
54      | 1        | 71      | 0                 | 56-58 88-89       | 0.291074     | 6.94902      | -2.33779     | 151.669      | 0.33         
55      | 4        | 71      | 0                 | 56-58 88-89       | 2.98505      | 1.08893      | 1.85659      | 5.15966      | 1.5          
56      | 413      | 2       | 0                 | 77-78             | 2.78524      | 1.43762      | 1.85728      | 6.51264      | 2.01028      
57      | 2212     | 1       | 0                 |                   | 0.300815     | 5.4114       | -1.19196     | 33.6967      | 0.93827      
58      | 323      | 2       | 0                 |                   | 1.12758      | 0.239355     | 2.61679      | 1.51071      | 0.967767     
59      | 21       | 71      | 0                 | 60                | 5.58535      | 5.32449      | -1.76784     | 573.359      | -7.11623e-05 
60      | 2212     | 1       | 0                 |                   | 1.96592      | 3.85942      | -0.960067    | 46.6596      | 0.93827      
61      | 21       | 71      | 0                 | 64-66 71-72       | 8.5922       | 2.71741      | 2.65909      | 65.332       | 0.32874      
62      | 21       | 71      | 0                 | 64-66 71-72       | 5.46109      | 2.62655      | 2.49764      | 37.9501      | -8.25906e-07 
63      | 21       | 71      | 0                 | 64-66 71-72       | 10.1883      | -0.478172    | -0.877146    | 11.3754      | -1.68587e-07 
64      | 2212     | 1       | 0                 |                   | 2.50463      | 1.45799      | 0.887579     | 5.75009      | 0.93827      
65      | 333      | 2       | 0                 | 79-80             | 2.19374      | 1.31042      | 0.288286     | 4.47786      | 1.00882      
66      | 333      | 2       | 0                 | 81-82             | 1.89439      | 1.73907      | -0.328079    | 5.65285      | 1.03182      
67      | 21       | 71      | 0                 | 69                | 21.1934      | -4.06471     | -0.174033    | 617.418      | 1.07896e-05  
68      | 1        | 71      | 0                 | 69                | 50.2686      | -4.21225     | -0.130118    | 1697.14      | 0.33         
69      | 2212     | 1       | 0                 |                   | 0.941032     | 4.24861      | 1.94161      | 32.9601      | 0.93827      
70      | 310      | 1       | 0                 |                   | 1.98308      | -2.04219     | 0.38251      | 7.78682      | 0.49761      
71      | 2212     | 1       | 0                 |                   | 0.994055     | 0.654172     | 1.96405      | 1.53468      | 0.93827      
72      | 310      | 1       | 0                 |                   | 1.50939      | 1.22392      | -0.287266    | 2.83234      | 0.49761      
73      | 321      | 1       | 0                 |                   | 0.353151     | -6.04986     | -2.81773     | 74.8795      | 0.49368      
74      | -321     | 1       | 0                 |                   | 0.178432     | -6.38614     | 2.79633      | 52.9576      | 0.49368      
75      | -411     | 2       | 0                 | 83-84             | 0.576361     | 3.40324      | 1.98701      | 8.87189      | 1.86962      
76      | 111      | 2       | 0                 |                   | 0.083061     | 2.8128       | 1.73434      | 0.707248     | 0.13498      
77      | 421      | 2       | 0                 | 85-87             | 2.52815      | 1.43721      | 1.85618      | 5.92202      | 1.86486      
78      | 211      | 1       | 0                 |                   | 0.257116     | 1.4416       | 1.86813      | 0.590613     | 0.13957      
79      | -213     | 2       | 0                 |                   | 1.42539      | 1.39491      | 0.239263     | 3.14852      | 0.773269     
80      | 211      | 1       | 0                 |                   | 0.773225     | 1.13026      | 0.378744     | 1.32934      | 0.13957      
81      | 130      | 1       | 0                 |                   | 1.17567      | 1.7084       | -0.258963    | 3.38813      | 0.49761      
82      | 310      | 1       | 0                 |                   | 0.726087     | 1.77778      | -0.440136    | 2.26472      | 0.49761      
83      | -323     | 2       | 0                 | 90                | 0.481216     | 2.94607      | 2.37398      | 4.69085      | 0.959446     
84      | 313      | 2       | 0                 | 91-92             | 0.223763     | 3.5989       | 1.04013      | 4.18104      | 0.852493     
85      | -13      | 1       | 0                 |                   | 1.49467      | 1.09327      | 2.07171      | 2.48275      | 0.10566      
86      | 14       | 1       | 0                 |                   | 0.550948     | 1.01949      | 2.42753      | 0.862941     | -1.97124e-08 
87      | -321     | 1       | 0                 |                   | 0.864279     | 1.73609      | 1.06016      | 2.57633      | 0.49368      
88      | 11       | 1       | 0                 |                   | 0.0668286    | 2.02106      | 0.777039     | 0.256584     | 0.000511     
89      | -11      | 1       | 0                 |                   | 0.0134088    | 2.26952      | 0.383664     | 0.0655586    | 0.000511     
90      | -311     | 2       | 0                 |                   | 0.278078     | 3.28166      | -3.08255     | 3.7397       | 0.49761      
91      | 311      | 2       | 0                 |                   | 0.13756      | 3.64348      | -2.91454     | 2.67753      | 0.49761      
92      | 111      | 2       | 0                 |                   | 0.333618     | 2.18201      | 0.735946     | 1.5035       | 0.13498      
--------------------------------------------------------
EVENT #11
--------------------------------------------------------
element | pdgId    | status  | mothers           | daughters         | pT           | Eta          | Phi          | E            | mass
1       | 2212     | 4       | 0                 | 3 28-30           | 0            | 29256        | 0            | 6500         | 0.93827      
2       | 2212     | 4       | 0                 | 4 24-27           | 0            | -29256       | 0            | 6500         | 0.93827      
3       | 21       | 21      | 0                 | 5                 | 0            | 23881.9      | 0            | 1125.94      | 0            
4       | 21       | 21      | 0                 | 5                 | 0            | -22978.1     | 0            | 222.111      | 0            
5       | 25       | 22      | 0                 | 6                 | 0            | 23659.8      | 0            | 1348.05      | 1000.17      
6       | 25       | 44      | 0                 | 7                 | 43.1921      | 3.71774      | 0.774564     | 1338.6       | 1000.17      
7       | 25       | 44      | 0                 | 8                 | 65.8764      | 3.29783      | 0.845227     | 1340.36      | 1000.17      
8       | 25       | 44      | 0                 | 9                 | 73.1978      | 3.20095      | 1.06954      | 1345.63      | 1000.17      
9       | 25       | 44      | 0                 | 10                | 73.6423      | 3.19544      | 1.01606      | 1345.97      | 1000.17      
10      | 25       | 44      | 0                 | 11                | 72.2685      | 3.21392      | 1.02506      | 1345.72      | 1000.17      
11      | 25       | 44      | 0                 | 12                | 70.18        | 3.24337      | 1.02451      | 1345.74      | 1000.17      
12      | 25       | 44      | 0                 | 13                | 70.6784      | 3.23633      | 1.03491      | 1345.77      | 1000.17      
13      | 25       | 62      | 0                 | 14-15             | 70.5311      | 3.23848      | 1.01025      | 1345.81      | 1000.17      
14      | 4900001  | 22      | 0                 | 16-17             | 427.924      | 1.21597      | -2.23729     | 790.824      | 93.8364      
15      | -4900001 | 22      | 0                 | 18-19             | 498.115      | 0.463655     | 0.91928      | 554.981      | 51.1097      
16      | 4900022  | 22      | 0                 | 20-21             | 40.9082      | 1.2649       | -2.92152     | 78.2403      | 0.690229     
17      | 4900004  | 1       | 0                 |                   | 397.066      | 1.1893       | -2.17212     | 712.584      | 2            
18      | 4900022  | 22      | 0                 | 22-23             | 269.176      | 0.417205     | 0.879229     | 294.326      | 28.4822      
19      | -4900004 | 1       | 0                 |                   | 229.408      | 0.516122     | 0.966279     | 260.656      | 2            
20      | 13       | 1       | 0                 |                   | 14.6061      | 1.27563      | -2.94004     | 28.1917      | 0.10566      
21      | -13      | 1       | 0                 |                   | 26.306       | 1.25877      | -2.91123     | 50.0485      | 0.10566      
22      | 13       | 1       | 0                 |                   | 223.995      | 0.431361     | 0.834275     | 245.16       | 0.10566      
23      | -13      | 1       | 0                 |                   | 46.5095      | 0.336359     | 1.09739      | 49.1655      | 0.10566      
24      | 21       | 71      | 0                 |                   | 5.42266      | -0.712556    | -2.54439     | 6.85854      | 1.19209e-07  
25      | -1       | 71      | 0                 |                   | 30.3612      | -0.64233     | -2.35492     | 36.8443      | 0.33         
26      | 1        | 71      | 0                 | 27                | 26.8205      | -3.12763     | -2.22194     | 306.609      | 0.33         
27      | 2212     | 1       | 0                 |                   | 0.278401     | -9.69671     | -0.695868    | 2263.95      | 0.93827      
28      | 21       | 71      | 0                 | 30                | 5.40674      | 0.744131     | -1.0531      | 6.97404      | 1.46001e-07  
29      | 21       | 71      | 0                 | 30                | 5.46011      | 1.47488      | -1.1518      | 12.5564      | 1.19209e-07  
30      | 333      | 2       | 0                 | 31-32             | 2.00336      | 1.20085      | -1.27531     | 3.77376      | 1.03183      
31      | 321      | 1       | 0                 |                   | 0.998196     | 1.06379      | -1.32975     | 1.69194      | 0.49368      
32      | -321     | 1       | 0                 |                   | 1.00811      | 1.32052      | -1.2214      | 2.08182      | 0.49368      
--------------------------------------------------------
EVENT #12
--------------------------------------------------------
element | pdgId    | status  | mothers           | daughters         | pT           | Eta          | Phi          | E            | mass
1       | 2212     | 4       | 0                 | 3 11-12 32-33 36 39-50 55 | 0            | 29256        | 0            | 6500         | 0.93827      
2       | 2212     | 4       | 0                 | 4 11-12 30 32-33 35-36 39-43 45-50 55 | 0            | -29256       | 0            | 6500         | 0.93827      
3       | 1        | 21      | 0                 | 5-7               | 0            | 24487.7      | 0            | 1731.66      | 0            
4       | 2        | 21      | 0                 | 5-7               | 0            | -23539.8     | 0            | 783.848      | 0            
5       | 25       | 22      | 0                 | 8                 | 73.5895      | -0.948598    | 2.37611      | 1040.66      | 1034.9       
6       | 2        | 23      | 0                 | 13                | 85.243       | 3.37971      | -0.648508    | 1252.91      | 0.33         
7       | 1        | 23      | 0                 | 10                | 14.8841      | -3.39413     | 3.10816      | 221.94       | 0.33         
8       | 25       | 44      | 0                 | 9                 | 71.4377      | -0.977418    | 2.31635      | 1040.56      | 1034.9       
9       | 25       | 44      | 0                 | 16                | 71.8643      | -0.973027    | 2.30652      | 1040.59      | 1034.9       
10      | 1        | 44      | 0                 | 29 32-33 36 47    | 13.1024      | -3.52216     | 3.05831      | 222.002      | 0.33         
11      | -4       | 51      | 0                 | 14                | 0.925181     | -1.1115      | 2.46456      | 2.16272      | 1.5          
12      | 4        | 51      | 0                 | 15                | 1.21184      | -1.31731     | 0.25602      | 2.85093      | 1.5          
13      | 2        | 52      | 0                 | 37-38 40-43 55    | 81.7548      | 3.38795      | -0.624626    | 1211.56      | 0.33         
14      | -4       | 44      | 0                 | 17                | 0.926911     | -1.11002     | 2.46707      | 2.16348      | 1.5          
15      | 4        | 44      | 0                 | 18                | 1.20764      | -1.32102     | 0.256024     | 2.85041      | 1.5          
16      | 25       | 62      | 0                 | 19-20             | 70.7472      | -0.984937    | 2.29402      | 1040.52      | 1034.9       
17      | -4       | 62      | 0                 | 31                | 0.918348     | -1.11037     | 2.51937      | 2.15344      | 1.5          
18      | 4        | 62      | 0                 | 34                | 1.17971      | -1.32528     | 0.230667     | 2.81029      | 1.5          
19      | 4900001  | 22      | 0                 | 21-22             | 492.712      | 0.215648     | -2.43373     | 506.875      | 51.8754      
20      | -4900001 | 22      | 0                 | 23-24             | 496.689      | -0.371108    | 0.850771     | 533.642      | 50.1005      
21      | 4900022  | 22      | 0                 | 25-26             | 452.834      | 0.211726     | -2.46422     | 463.152      | 10.9936      
22      | 4900004  | 1       | 0                 |                   | 42.3999      | 0.244799     | -2.10203     | 43.7224      | 2            
23      | 4900022  | 22      | 0                 | 27-28             | 174.58       | -0.468578    | 0.756799     | 194.101      | 0.907611     
24      | -4900004 | 1       | 0                 |                   | 323.295      | -0.31566     | 0.901463     | 339.542      | 2            
25      | 13       | 1       | 0                 |                   | 190.664      | 0.205762     | -2.49207     | 194.715      | 0.10566      
26      | -13      | 1       | 0                 |                   | 262.297      | 0.215955     | -2.44398     | 268.437      | 0.10566      
27      | 13       | 1       | 0                 |                   | 88.843       | -0.464137    | 0.754564     | 98.5855      | 0.10566      
28      | -13      | 1       | 0                 |                   | 85.7371      | -0.473169    | 0.759115     | 95.5153      | 0.10566      
29      | 1        | 71      | 0                 |                   | 7.15629      | -3.64354     | -3.12602     | 136.876      | 0.33         
30      | 2212     | 1       | 0                 |                   | 0.986286     | -7.95293     | -1.76549     | 1402.45      | 0.93827      
31      | -4       | 71      | 0                 | 32-33 47          | 0.918348     | -1.11037     | 2.51937      | 2.15344      | 1.5          
32      | -323     | 2       | 0                 |                   | 2.00026      | -1.51295     | 1.85815      | 4.8432       | 0.888706     
33      | -421     | 2       | 0                 | 51-52             | 0.98841      | -1.39903     | 2.13636      | 2.82661      | 1.86486      
34      | 4        | 71      | 0                 | 36                | 1.17971      | -1.32528     | 0.230667     | 2.81029      | 1.5          
35      | 21       | 71      | 0                 | 36                | 6.1479       | -1.25494     | -2.82555     | 11.6586      | -2.38419e-07 
36      | 4214     | 2       | 0                 | 53-54             | 1.07501      | -1.7015      | 2.18473      | 3.96137      | 2.53418      
37      | 2        | 71      | 0                 | 40-43 55          | 46.8826      | 3.37464      | -0.626947    | 685.612      | 0.33         
38      | 21       | 71      | 0                 | 40-43 55          | 35.4571      | 3.37036      | -0.58817     | 516.315      | 1.32145e-05  
39      | 21       | 71      | 0                 | 40-43 55          | 9.50589      | 1.97706      | 0.288291     | 34.9815      | -4.76837e-07 
40      | 111      | 2       | 0                 | 56                | 13.3524      | 3.43442      | -0.637969    | 207.266      | 0.13498      
41      | 333      | 2       | 0                 | 57-58             | 2.91975      | 2.34176      | 0.0349805    | 15.3564      | 1.02253      
42      | -323     | 2       | 0                 |                   | 5.15991      | 1.89769      | 0.456931     | 17.6181      | 0.877485     
43      | 323      | 2       | 0                 |                   | 1.55379      | 2.03134      | 0.814792     | 6.09059      | 0.890356     
44      | 21       | 71      | 0                 | 45 49-50          | 5.92782      | 2.38524      | -1.36134     | 32.466       | -6.79388e-06 
45      | 333      | 2       | 0                 | 59-60             | 1.28067      | 4.2524       | -1.70069     | 45.0193      | 1.01902      
46      | 2212     | 1       | 0                 |                   | 0.469146     | -7.55182     | -1.05644     | 446.678      | 0.93827      
47      | 310      | 1       | 0                 |                   | 1.31724      | -1.5247      | 1.95326      | 3.20776      | 0.49761      
48      | 2212     | 1       | 0                 |                   | 0.624524     | 5.16582      | 0.789438     | 54.7123      | 0.93827      
49      | 310      | 1       | 0                 |                   | 1.09879      | 0.753128     | 2.69263      | 1.50979      | 0.49761      
50      | 2212     | 1       | 0                 |                   | 1.97737      | 3.9499       | -1.45854     | 51.37        | 0.93827      
51      | 213      | 2       | 0                 | 61                | 0.690917     | -1.81997     | 2.48257      | 2.34974      | 0.856646     
52      | -211     | 1       | 0                 |                   | 0.411752     | 0.459446     | 1.53059      | 0.476862     | 0.13957      
53      | 4122     | 2       | 0                 | 62-64             | 1.08006      | -1.53204     | 2.14679      | 3.47419      | 2.28646      
54      | 111      | 2       | 0                 |                   | 0.0411808    | -3.12195     | -2.42371     | 0.487185     | 0.13498      
55      | 111      | 2       | 0                 | 65                | 15.8401      | 3.36352      | -0.600421    | 229.089      | 0.13498      
56      | 22       | 1       | 0                 |                   | 12.8337      | 3.43604      | -0.639121    | 199.538      | -2.6974e-06  
57      | 321      | 1       | 0                 |                   | 1.28151      | 2.31441      | -0.0478561   | 6.56568      | 0.49368      
58      | -321     | 1       | 0                 |                   | 1.64605      | 2.35798      | 0.0994424    | 8.79076      | 0.49368      
59      | -213     | 2       | 0                 |                   | 1.03963      | 4.18598      | -1.70107     | 34.2         | 0.841837     
60      | 211      | 1       | 0                 |                   | 0.241045     | 4.49704      | -1.69906     | 10.8193      | 0.13957      
61      | 111      | 2       | 0                 |                   | 0.533526     | -1.81416     | -3.12133     | 1.68573      | 0.13498      
62      | 111      | 2       | 0                 |                   | 0.03917      | -3.44871     | 2.28917      | 0.631362     | 0.13498      
63      | 321      | 1       | 0                 |                   | 0.676406     | -1.35324     | 2.09112      | 1.48092      | 0.49368      
64      | 3212     | 2       | 0                 |                   | 0.367328     | -1.18628     | 2.23424      | 1.3619       | 1.19264      
65      | 22       | 1       | 0                 |                   | 13.0955      | 3.36737      | -0.600738    | 190.124      | -2.6974e-06  
--------------------------------------------------------
EVENT #13
--------------------------------------------------------
element | pdgId    | status  | mothers           | daughters         | pT           | Eta          | Phi          | E            | mass
1       | 2212     | 4       | 0                 | 3 34-35           | 0            | 29256        | 0            | 6500         | 0.93827      
2       | 2212     | 4       | 0                 | 4 37-43           | 0            | -29256       | 0            | 6500         | 0.93827      
3       | 1        | 21      | 0                 | 5-7               | 0            | 24277.8      | 0            | 1521.82      | 0            
4       | 2        | 21      | 0                 | 5-7               | 0            | -24367.3     | 0            | 1611.31      | 0            
5       | 25       | 22      | 0                 | 8                 | 56.2435      | -2.69098     | -0.738547    | 1132.13      | 1052.69      
6       | 2        | 23      | 0                 | 10                | 98.1566      | 3.16384      | 1.92614      | 1163.33      | 0.33         
7       | 1        | 23      | 0                 | 12                | 54.669       | -3.42142     | -1.70729     | 837.677      | 0.33         
8       | 25       | 44      | 0                 | 9                 | 61.2715      | -2.63445     | -0.101786    | 1136.8       | 1052.69      
9       | 25       | 44      | 0                 | 11                | 65.2778      | -2.57208     | -0.13406     | 1137.06      | 1052.69      
10      | 2        | 44      | 0                 | 31-35             | 98.2085      | 3.15342      | 1.92527      | 1151.92      | 0.33         
11      | 25       | 44      | 0                 | 13                | 66.0353      | -2.55955     | -0.133816    | 1136.93      | 1052.69      
12      | 1        | 44      | 0                 | 36 43             | 27.2701      | -4.07862     | -0.909345    | 805.567      | 0.33         
13      | 25       | 44      | 0                 | 14                | 66.1096      | -2.55845     | -0.134643    | 1136.93      | 1052.69      
14      | 25       | 62      | 0                 | 15-16             | 66.7394      | -2.54903     | -0.13459     | 1136.96      | 1052.69      
15      | 4900001  | 22      | 0                 | 17-18             | 544.484      | -0.204275    | -0.568565    | 558.136      | 50.0882      
16      | -4900001 | 22      | 0                 | 19-20             | 484.744      | -0.606485    | 2.5151       | 578.826      | 50.0172      
17      | 4900022  | 22      | 0                 | 21-22             | 241.744      | -0.243631    | -0.663161    | 248.959      | 1.46363      
18      | 4900004  | 1       | 0                 |                   | 304.677      | -0.171533    | -0.493551    | 309.177      | 2            
19      | 4900022  | 22      | 0                 | 23-24             | 311.7        | -0.671968    | 2.49429      | 385.066      | 15.3069      
20      | -4900004 | 1       | 0                 |                   | 173.233      | -0.482014    | 2.55256      | 193.76       | 2            
21      | 13       | 1       | 0                 |                   | 93.0868      | -0.237276    | -0.659048    | 95.7196      | 0.10566      
22      | -13      | 1       | 0                 |                   | 148.659      | -0.247604    | -0.665736    | 153.239      | 0.10566      
23      | 13       | 23      | 0                 | 25-26             | 161.386      | -0.697422    | 2.45476      | 202.252      | 0.10566      
24      | -13      | 23      | 0                 | 27                | 150.575      | -0.643226    | 2.53665      | 182.814      | 0.10566      
25      | 13       | 51      | 0                 | 30                | 161.357      | -0.697423    | 2.45476      | 202.215      | 0.10566      
26      | 22       | 1       | 0                 |                   | 0.0293518    | -0.695768    | 2.44998      | 0.0367476    | -1.09207e-09 
27      | -13      | 52      | 0                 | 28-29             | 150.575      | -0.643226    | 2.53665      | 182.814      | 0.10566      
28      | -13      | 1       | 0                 |                   | 150.573      | -0.643226    | 2.53665      | 182.81       | 0.10566      
29      | 22       | 1       | 0                 |                   | 0.00266157   | -0.645065    | 2.53683      | 0.0032348    | -4.60172e-11 
30      | 13       | 1       | 0                 |                   | 161.357      | -0.697423    | 2.45476      | 202.215      | 0.10566      
